comment_id,vote,x_id
27,0,3137f512-59d9-4627-881a-2903e12f8758
6,-1,3137f512-59d9-4627-881a-2903e12f8758
2,-1,1bb559c5-0465-4ec0-8ef5-49908042d117
27,-1,aa1232eb-f93a-4dcf-b2a7-933a3db65f18
29,1,1c1ff7c6-71cf-4fc9-a333-60f8e4fc482c
30,1,1bb559c5-0465-4ec0-8ef5-49908042d117
28,1,b7397eb6-5247-4bce-9058-f92443ddcf71
6,-1,0ef851b4-9d53-4694-b4bc-5f8b22f73cb2
27,0,ccfa701a-a49c-4fa8-83d9-1fcdecacfafd
11,1,ccfa701a-a49c-4fa8-83d9-1fcdecacfafd
2,-1,ccfa701a-a49c-4fa8-83d9-1fcdecacfafd
23,-1,ccfa701a-a49c-4fa8-83d9-1fcdecacfafd
17,-1,ccfa701a-a49c-4fa8-83d9-1fcdecacfafd
25,-1,b7d387c3-15e3-4416-b3e5-c137ccfcc4fe
35,-1,1da61af9-df92-4377-858e-e85d623648d0
35,-1,f8f1c1bd-b47f-43d4-9629-d2c95ff01cd7
14,-1,1da61af9-df92-4377-858e-e85d623648d0
22,-1,dc493105-e662-4d9a-9e55-71f6cef4e416
2,-1,dc493105-e662-4d9a-9e55-71f6cef4e416
30,-1,6efafc2f-e31b-438f-b520-d95f79642f66
21,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
18,-1,92908b97-81d7-4c0b-8f6e-67de1993e429
22,1,7eaa9350-11a7-4aac-85b8-8e2c1b509e8a
37,-1,00ce2571-b23b-4975-bdb1-adbfbd882b52
26,-1,3137f512-59d9-4627-881a-2903e12f8758
41,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
35,-1,94bcb277-e677-4518-8eb3-9b71752780ec
4,-1,9c4f85ad-8a2c-41fc-aaed-3548a5c431e8
17,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
0,1,9c4f85ad-8a2c-41fc-aaed-3548a5c431e8
0,1,2c7dfd50-cfb4-4f9c-8b21-ad78a1eb0ff7
27,-1,452d2f4e-7434-4bc0-bb67-fa47b96d9e6e
19,-1,55e229f3-4b57-4930-a7ed-844910104ab3
27,-1,55e229f3-4b57-4930-a7ed-844910104ab3
4,-1,55e229f3-4b57-4930-a7ed-844910104ab3
30,0,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
